link_id;ticket_id;ticket_barcode;bracelet_id;bracelet_uid;timestamp;actie
211;123552;3492505529402;1620578;0481D8EAA95280;2017-04-14 22:39:07.213;linktoken
212;128971;5666958081468;1582466;04059CEAA95281;2017-04-14 22:39:20.363;linktoken
213;117843;5663954160302;1583166;049F10EAA95284;2017-04-14 22:39:23.770;linktoken
214;123551;9762276194715;1622708;0413DCEAA95281;2017-04-14 22:39:33.133;linktoken
215;122303;1155494410695;1581799;0435F2EAA95281;2017-04-14 22:39:39.340;linktoken
216;139331;4843622238316;1620577;04B203EAA95284;2017-04-14 22:39:39.990;linktoken
217;139331;4843622238316;1620577;;2017-04-14 22:39:40.797;removetoken
218;117844;9638967183323;1582438;04AA83EAA95280;2017-04-14 22:39:42.413;linktoken
219;134191;1191499927523;1583150;042F01EAA95285;2017-04-14 22:39:57.057;linktoken
220;119231;1730320278535;1583213;0466A1EAA95281;2017-04-14 22:40:05.953;linktoken
221;122911;4621667245687;1581839;041EA6EAA95281;2017-04-14 22:40:08.800;linktoken
222;132185;1147601197490;1622701;040FD5EAA95281;2017-04-14 22:40:11.600;linktoken
223;122910;3329132585740;1583169;0473CAEAA95281;2017-04-14 22:40:22.920;linktoken
224;119031;9940528932067;1622654;046CD0EAA95280;2017-04-14 22:40:23.270;linktoken
225;138505;5103322922892;1620591;047201EAA95285;2017-04-14 22:40:23.727;linktoken
226;119033;8510332831439;1622690;043FD7EAA95280;2017-04-14 22:40:36.057;linktoken
227;138506;7755978030513;1621609;0483B5EAA95281;2017-04-14 22:40:40.623;linktoken
228;138507;1698414337196;1620583;047504EAA95284;2017-04-14 22:40:42.633;linktoken
229;138445;8017024840620;1622651;0415C7EAA95280;2017-04-14 22:40:51.517;linktoken
230;138508;9201166903483;1622717;041B76EAA95281;2017-04-14 22:41:00.170;linktoken
231;138420;4942349557509;1622718;0430E8EAA95281;2017-04-14 22:41:40.280;linktoken
232;130783;5580050167199;1622074;0480ABEAA95281;2017-04-14 22:41:55.190;linktoken
233;158469;1241029175051;1583161;04DAE7EAA95280;2017-04-14 22:43:09.890;linktoken
234;119970;9336111535188;1622714;0423DCEAA95280;2017-04-14 22:45:16.610;linktoken
235;138374;4786775174691;1622677;0427DCEAA95281;2017-04-14 22:47:02.507;linktoken
236;138481;6444789671329;1620615;041DB1EAA95280;2017-04-14 22:47:09.930;linktoken
237;139330;5472466584243;1622442;049986EAA95280;2017-04-14 22:47:15.587;linktoken
238;138375;6068437285227;1622686;04D399EAA95280;2017-04-14 22:47:20.283;linktoken
239;127114;2083583589085;1621592;04D487EAA95280;2017-04-14 22:48:25.303;linktoken
240;127115;8583939723506;1622443;048A89EAA95281;2017-04-14 22:48:42.980;linktoken
241;127804;3101263509556;1622680;047BEDEAA95281;2017-04-14 22:48:51.917;linktoken
242;127805;2083193197342;1622031;04799DEAA95281;2017-04-14 22:49:07.780;linktoken
243;120462;6335113242349;1583589;047D84EAA95280;2017-04-14 22:49:08.103;linktoken
244;144820;5469391184136;1622469;04356EEAA95280;2017-04-14 22:49:10.667;linktoken
245;147416;37754965;1620611;046A7FEAA95280;2017-04-14 22:49:25.367;linktoken
246;117275;2870992903799;1621623;04E49BEAA95280;2017-04-14 22:49:28.257;linktoken
248;122378;2593826022212;1620593;0428A1EAA95281;2017-04-14 22:50:28.230;linktoken
249;158315;9236124927430;1581844;045A08EAA95284;2017-04-14 22:50:35.227;linktoken
250;121215;7910363565616;1583141;04F51CEAA95284;2017-04-14 22:50:50.483;linktoken
251;133304;8507963671985;1583204;044E78EAA95280;2017-04-14 22:50:51.880;linktoken
252;133305;9976381588516;1582467;046FFFEAA95281;2017-04-14 22:51:06.087;linktoken
253;117567;2863665292115;1583147;0406ECEAA95281;2017-04-14 22:51:19.950;linktoken
254;121216;9690272537574;1583205;040CB1EAA95280;2017-04-14 22:51:30.220;linktoken
255;117566;8806970412124;1583154;0461CEEAA95280;2017-04-14 22:51:31.240;linktoken
